Name,new_name
FORD MOTOR COMPANY 1999 6 3/8% 01/02/29 S - RED. YIELD,FORD
OCCIDENT PTL CORP 1999 8.45% 15/02/29 S - RED. YIELD,OCCIDENT PTL CORP
BURLINGTON RES.LLC 1999 7 3/8% 01/03/29 S - RED. YIELD,BURLINGTON RES.LLC
ANADARKO PTL CORP 1999 7.2% 15/03/29 S - RED. YIELD,ANADARKO PTL CORP
AT&T CORP. 1999 6 1/2% 15/03/29 S - RED. YIELD,AT&T
CONOCOPHILLIPS CO. 1999 7% 30/03/29 S - RED. YIELD,CONOCOPHILLIPS
ANADARKO PTL CORP 1999 7.95% 15/04/29 S - RED. YIELD,ANADARKO PTL CORP
CONOCOPHILLIPS CO. 1999 6.95% 15/04/29 S - RED. YIELD,CONOCOPHILLIPS
ALLTEL CORPORATION 1999 6.8% 01/05/29 S - RED. YIELD,ALLTEL CORPORATION
DUKE ENERGY INDIANA 1999 8.85% 15/01/22 CCC - RED. YIELD,DUKE
DUKE ENERGY INDIANA 1999 8.85% 15/01/22 CCC (MB - RED. YIELD,DUKE
ROHM & HAAS COMPANY 1999 7.85% 15/07/29 144A - RED. YIELD,ROHM & HAAS COMPANY
FORD MOTOR COMPANY 1999 7.45% 16/07/31 S - RED. YIELD,FORD
PEPSI-COLA MET.BT. 1999 7% 01/03/29 B - RED. YIELD,PEPSI-COLA
LOWE S COS.INCO. 1999 6 1/2% 15/03/29 B - RED. YIELD,LOWE S COS.INCO.
JOHNSON & JOHNSON 1999 6.95% 01/09/29 S - RED. YIELD,JOHNSON & JOHNSON
UNITED TECHNOLOGIES 1999 7 1/2% 15/09/29 S - RED. YIELD,UNITED TECHNOLOGIES
PDMNT NATGS COIC 1999 7.95% 14/09/29 C - RED. YIELD,PDMNT NATGS COIC
COMCAST HDG CORP CV 2% 15/11/29 ZONES - RED. YIELD,COMCAST
ROHM & HAAS COMPANY 1999 7.85% 15/07/29 B - RED. YIELD,ROHM & HAAS COMPANY
DOW CHEMICAL CO 1999 7 3/8% 01/11/29 S - RED. YIELD,DOW
LOCKHEED MARTIN 1999 8 1/2% 01/12/29 S - RED. YIELD,LOCKHEED MARTIN
CONOCOPHILLIPS CO. 2000 8 1/8% 15/02/30 S - RED. YIELD,CONOCOPHILLIPS
WALMART INCO. 2000 7.55% 15/02/30 S - RED. YIELD,WALMART INCO.
BELLSOUTH LLC 2000 7 7/8% 15/02/30 S - RED. YIELD,BELLSOUTH
VALERO ENERGY CORP. 2000 8 3/4% 15/06/30 S - RED. YIELD,VALERO ENERGY CORP.
EL PASO LLC 2000 8.05% 15/10/30 S - RED. YIELD,EL PASO
VERIZON COMMS INCO 2000 7 3/4% 01/12/30 144A - RED. YIELD,VERIZON
SOUTHERN NATGS.CO. 2001 7.35% 15/02/31 S - RED. YIELD,SOUTHERN NATURAL GAS
PROGRESS EN.INCO. 2001 7 3/4% 01/03/31 S - RED. YIELD,PROGRESS EN.INCO.
KINDER MORGAN EN. 2001 7.4% 15/03/31 S - RED. YIELD,KINDER MORGAN
WARNER MEDIA LLC 2001 7 5/8% 15/04/31 S - RED. YIELD,WARNER MEDIA LLC
CATERPILLAR INCO 2001 7.3% 01/05/31 S - RED. YIELD,CATERPILLAR INCO
TARGET CORPORATION 2001 7% 15/07/31 S - RED. YIELD,TARGET CORPORATION
EL PASO LLC 2001 7.8% 01/08/31 S - RED. YIELD,EL PASO
BURLINGTON RES.LLC 2001 7.2% 15/08/31 S - RED. YIELD,BURLINGTON RES.LLC
VERIZON COMMS INCO 2001 7 3/4% 01/12/30 B - RED. YIELD,VERIZON
NWCG.WRLS.SVS.INCO. 2001 8 3/4% 01/03/31 B - RED. YIELD,NWCG.WRLS.SVS.INCO.
CONOCO FUNDING 2001 7 1/4% 15/10/31 S - RED. YIELD,CONOCO FUNDING
BELLSOUTH LLC 2001 6 7/8% 15/10/31 S - RED. YIELD,BELLSOUTH
PROGRESS EN.INCO. 2001 7% 30/10/31 S - RED. YIELD,PROGRESS EN.INCO.
MONDELEZ INTL INCO 2001 6 1/2% 01/11/31 S - RED. YIELD,MONDELEZ INTL INCO
EL PASO LLC 2002 7 3/4% 15/01/32 S - RED. YIELD,EL PASO
SOUTHERN NATGS.CO. 2002 8% 01/03/32 S - RED. YIELD,SOUTHERN NATURAL GAS
TWDC ENTERPRISES 18 2002 7% 01/03/32 B - RED. YIELD,TWDC ENTERPRISES
KINDER MORGAN EN. 2002 7 3/4% 15/03/32 S - RED. YIELD,KINDER MORGAN
GENERAL ELEC CO 2002 6 3/4% 15/03/32 A - RED. YIELD,GENERAL ELEC CO
EXELON CORPORATION 2002 7.6% 01/04/32 S - RED. YIELD,EXELON
VERIZON NEW YORK 2002 7 3/8% 01/04/32 B - RED. YIELD,VERIZON
WARNER MEDIA LLC 2002 7.7% 01/05/32 S - RED. YIELD,WARNER MEDIA LLC
VALERO ENERGY CORP. 2002 7 1/2% 15/04/32 S - RED. YIELD,VALERO ENERGY CORP.
CATERPILLAR INCO 2002 6.95% 01/05/42 S - RED. YIELD,CATERPILLAR INCO
TENNESSEE GAS PIPE 2002 8 3/8% 15/06/32 S - RED. YIELD,TENNESSEE GAS PIPE
ALLTEL CORPORATION 2002 7 7/8% 01/07/32 S - RED. YIELD,ALLTEL CORPORATION
VERIZON COMMS INCO 2002 7 3/4% 15/06/32 S - RED. YIELD,VERIZON
BURLINGTON RES.LLC 2002 7.4% 01/12/31 B - RED. YIELD,BURLINGTON RES.LLC
EMERSON ELEC.CO. 2002 6% 15/08/32 S - RED. YIELD,EMERSON ELEC.CO.
AT&T MOBILITY LLC 2002 7 1/8% 15/12/31 B - RED. YIELD,AT&T
DUKE ENERGY CRIS. 2002 6.45% 15/10/32 S - RED. YIELD,DUKE
CONOCOPHILLIPS 2002 5.9% 15/10/32 144A - RED. YIELD,CONOCOPHILLIPS
TARGET CORPORATION 2002 6.35% 01/11/32 S - RED. YIELD,TARGET CORPORATION
COMCAST CABLE 2002 9.455% 15/11/22 S - RED. YIELD,COMCAST
KINDER MORGAN EN. 2002 7.3% 15/08/33 B - RED. YIELD,KINDER MORGAN
INTL BUS MCHS CORP 2002 5 7/8% 29/11/32 S - RED. YIELD,INTL BUS MCHS CORP
ALABAMA POWER CO 2002 5 7/8% 01/12/22 S - RED. YIELD,ALABAMA POWER CO
FLA PWR& LT CO 2002 5.85% 01/02/33 S - RED. YIELD,FLA PWR& LT CO
COMMONWEALTH EDISON 2003 5 7/8% 01/02/33 100 - RED. YIELD,COMMONWEALTH EDISON
THE BOEING COMPANY 2003 6 1/8% 15/02/33 S - RED. YIELD,THE BOEING COMPANY
ALABAMA POWER CO 2003 5.7% 15/02/33 T - RED. YIELD,ALABAMA POWER CO
DUKE EN.FLORIDA LLC 2003 5.9% 01/03/33 S - RED. YIELD,DUKE
CONOCOPHILLIPS 2003 5.9% 15/10/32 B - RED. YIELD,CONOCOPHILLIPS
ALABAMA POWER CO 2003 5.6% 15/03/33 V - RED. YIELD,ALABAMA POWER CO
COMCAST CORPORATION 2003 7.05% 15/03/33 S - RED. YIELD,COMCAST
KRAFT HEINZ FOODS 2003 6 3/4% 15/03/32 B - RED. YIELD,KRAFT HEINZ FOODS
FLA PWR& LT CO 2003 5 5/8% 01/04/34 S - RED. YIELD,FLA PWR& LT CO
GEORGIA POWER CO 2003 5 3/4% 15/04/23 N - RED. YIELD,GEORGIA POWER CO
PEPCO HOLDINGS LLC 2003 7.45% 15/08/32 B - RED. YIELD,PEPSI-COLA
JOHNSON & JOHNSON 2003 4.95% 15/05/33 S - RED. YIELD,JOHNSON & JOHNSON
UNION PACIFIC CORP. 2003 5 3/8% 01/06/33 S - RED. YIELD,UNION PACIFIC CORP.
